yeast_id,complementing_human_id,noncomplementing_human_id,complement_sim,noncomplement_sim,complement_higher,method,num_paralogs,embedding_filename,model,layer_config,similarity_method,similarity_filename,input_file,layer_config_parsed,model_parsed,embedding_type,similarities_method,similarity_method_parsed
P25342,Q9UH03,Q8IYM1,0.9752439260482788,0.9872838854789734,FALSE,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
P32337,O00410,O60518,0.9825507402420044,0.9893256425857544,FALSE,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
P38221,O95674,Q92903,0.9801907539367676,0.9751651883125304,TRUE,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
P38523,Q9HAV7,Q8TAA5,0.9814988374710084,0.973297655582428,TRUE,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
P40303,O14818,Q8TAA3,0.997399926185608,0.9964396953582764,TRUE,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
P40518,Q9BPX5,O15511,0.9868096709251404,0.9905673265457152,FALSE,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
P40857,Q6Y1H2,B0YJ81,0.9792858958244324,0.9705028533935548,TRUE,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
P53039,Q969M3,Q8N8F6,0.9899871349334716,0.9889589548110962,TRUE,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
P53378,Q9NRH3,P23258,0.974252462387085,0.9724097847938538,TRUE,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
P54839,Q01581,P54868,0.994090735912323,0.990290343761444,TRUE,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
Q07478,Q13838,O00148,0.9890516996383668,0.9889382719993592,TRUE,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
Q99190,Q9NZ01,Q5HYJ1,0.9667989015579224,0.9771456718444824,FALSE,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
P00817,Q15181,Q9H2U2,0.998226284980774,0.9919801950454712,TRUE,SWE Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings_swe,similarities_cosine,cosine
P04801,P26639,A2RTX5,0.994032621383667,0.9856871366500854,TRUE,SWE Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings_swe,similarities_cosine,cosine
P05453,Q8IYD1,P15170,0.982276737689972,0.9694652557373048,TRUE,SWE Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings_swe,similarities_cosine,cosine
P07263,P12081,P49590,0.9883975982666016,0.9906954765319824,FALSE,SWE Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings_swe,similarities_cosine,cosine
P07283,O15305,Q92871,0.9893474578857422,0.9879729747772216,TRUE,SWE Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings_swe,similarities_cosine,cosine
P07807,P00374,Q86XF0,0.9854268431663512,0.9899611473083496,FALSE,SWE Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings_swe,similarities_cosine,cosine
P09938,Q7LG56,P31350,0.99273085594177235,0.9924499988555908,TRUE,SWE Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings_swe,similarities_cosine,cosine
P11353,Q9LR75,Q93Z96,0.9878312945365906,0.97249436378479,TRUE,SWE Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings_swe,similarities_cosine,cosine
P14742,O94808,Q06210,0.994567334651947,0.9927388429641724,TRUE,SWE Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings_swe,similarities_cosine,cosine
P15496,Q13907,Q9BXS1,0.978166937828064,0.9848560094833374,FALSE,SWE Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings_swe,similarities_cosine,cosine
P25342,Q9UH03,Q8IYM1,0.9750266075134276,0.9876031875610352,FALSE,SWE Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings_swe,similarities_cosine,cosine
P32337,O00410,O60518,0.9839307069778442,0.990075409412384,FALSE,SWE Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings_swe,similarities_cosine,cosine
P38221,O95674,Q92903,0.9816842079162598,0.9768269062042236,TRUE,SWE Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings_swe,similarities_cosine,cosine
P38523,Q9HAV7,Q8TAA5,0.977213442325592,0.9709126949310304,TRUE,SWE Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings_swe,similarities_cosine,cosine
P40303,O14818,Q8TAA3,0.9967743158340454,0.9957597255706788,TRUE,SWE Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings_swe,similarities_cosine,cosine
P40518,Q9BPX5,O15511,0.980453372001648,0.9841179251670836,FALSE,SWE Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings_swe,similarities_cosine,cosine
P40857,Q6Y1H2,B0YJ81,0.9781651496887208,0.971981942653656,TRUE,SWE Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings_swe,similarities_cosine,cosine
P53039,Q969M3,Q8N8F6,0.9895250797271729,0.98867529630661,TRUE,SWE Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings_swe,similarities_cosine,cosine
P53378,Q9NRH3,P23258,0.975678026676178,0.973890781402588,TRUE,SWE Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings_swe,similarities_cosine,cosine
P54839,Q01581,P54868,0.9944840669631958,0.9909874200820924,TRUE,SWE Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings_swe,similarities_cosine,cosine
Q07478,Q13838,O00148,0.9889463186264038,0.9887040853500366,TRUE,SWE Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings_swe,similarities_cosine,cosine
Q99190,Q9NZ01,Q5HYJ1,0.9697295427322388,0.9769831895828248,FALSE,SWE Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings_swe.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings_swe,similarities_cosine,cosine
P00817,Q15181,Q9H2U2,0.5170068027210885,0.4332344213649852,TRUE,Sequence Alignment,2,inp9_small_proteome.pairs.align.similarities,prot_t5_xl_uniref50,last_1,cosine,inp9_small_proteome.pairs.align.similarities,inp9_small_proteome.pairs,align,similarities,NA,NA,NA
P04801,P26639,A2RTX5,0.5369127516778524,0.4733009708737864,TRUE,Sequence Alignment,2,inp9_small_proteome.pairs.align.similarities,prot_t5_xl_uniref50,last_1,cosine,inp9_small_proteome.pairs.align.similarities,inp9_small_proteome.pairs,align,similarities,NA,NA,NA
P05453,Q8IYD1,P15170,0.4088952654232424,0.3851744186046512,TRUE,Sequence Alignment,2,inp9_small_proteome.pairs.align.similarities,prot_t5_xl_uniref50,last_1,cosine,inp9_small_proteome.pairs.align.similarities,inp9_small_proteome.pairs,align,similarities,NA,NA,NA
P07263,P12081,P49590,0.4556962025316455,0.4061930783242258,TRUE,Sequence Alignment,2,inp9_small_proteome.pairs.align.similarities,prot_t5_xl_uniref50,last_1,cosine,inp9_small_proteome.pairs.align.similarities,inp9_small_proteome.pairs,align,similarities,NA,NA,NA
P07283,O15305,Q92871,0.5686274509803921,0.5381679389312977,TRUE,Sequence Alignment,2,inp9_small_proteome.pairs.align.similarities,prot_t5_xl_uniref50,last_1,cosine,inp9_small_proteome.pairs.align.similarities,inp9_small_proteome.pairs,align,similarities,NA,NA,NA
P07807,P00374,Q86XF0,0.2922374429223744,0.2831858407079646,TRUE,Sequence Alignment,2,inp9_small_proteome.pairs.align.similarities,prot_t5_xl_uniref50,last_1,cosine,inp9_small_proteome.pairs.align.similarities,inp9_small_proteome.pairs,align,similarities,NA,NA,NA
P09938,Q7LG56,P31350,0.568922305764411,0.5823095823095823,FALSE,Sequence Alignment,2,inp9_small_proteome.pairs.align.similarities,prot_t5_xl_uniref50,last_1,cosine,inp9_small_proteome.pairs.align.similarities,inp9_small_proteome.pairs,align,similarities,NA,NA,NA
P11353,Q9LR75,Q93Z96,0.425,0.1875,TRUE,Sequence Alignment,2,inp9_small_proteome.pairs.align.similarities,prot_t5_xl_uniref50,last_1,cosine,inp9_small_proteome.pairs.align.similarities,inp9_small_proteome.pairs,align,similarities,NA,NA,NA
P14742,O94808,Q06210,0.5554016620498615,0.5402455661664393,TRUE,Sequence Alignment,2,inp9_small_proteome.pairs.align.similarities,prot_t5_xl_uniref50,last_1,cosine,inp9_small_proteome.pairs.align.similarities,inp9_small_proteome.pairs,align,similarities,NA,NA,NA
P15496,Q13907,Q9BXS1,0.4123711340206185,0.3230240549828179,TRUE,Sequence Alignment,2,inp9_small_proteome.pairs.align.similarities,prot_t5_xl_uniref50,last_1,cosine,inp9_small_proteome.pairs.align.similarities,inp9_small_proteome.pairs,align,similarities,NA,NA,NA
P25342,Q9UH03,Q8IYM1,0.3950276243093922,0.3928571428571428,TRUE,Sequence Alignment,2,inp9_small_proteome.pairs.align.similarities,prot_t5_xl_uniref50,last_1,cosine,inp9_small_proteome.pairs.align.similarities,inp9_small_proteome.pairs,align,similarities,NA,NA,NA
P32337,O00410,O60518,0.2874779541446208,0.2773972602739726,TRUE,Sequence Alignment,2,inp9_small_proteome.pairs.align.similarities,prot_t5_xl_uniref50,last_1,cosine,inp9_small_proteome.pairs.align.similarities,inp9_small_proteome.pairs,align,similarities,NA,NA,NA
P38221,O95674,Q92903,0.3376344086021505,0.3484536082474226,FALSE,Sequence Alignment,2,inp9_small_proteome.pairs.align.similarities,prot_t5_xl_uniref50,last_1,cosine,inp9_small_proteome.pairs.align.similarities,inp9_small_proteome.pairs,align,similarities,NA,NA,NA
P38523,Q9HAV7,Q8TAA5,0.3361702127659574,0.2622950819672131,TRUE,Sequence Alignment,2,inp9_small_proteome.pairs.align.similarities,prot_t5_xl_uniref50,last_1,cosine,inp9_small_proteome.pairs.align.similarities,inp9_small_proteome.pairs,align,similarities,NA,NA,NA
P40303,O14818,Q8TAA3,0.5708661417322834,0.5325670498084292,TRUE,Sequence Alignment,2,inp9_small_proteome.pairs.align.similarities,prot_t5_xl_uniref50,last_1,cosine,inp9_small_proteome.pairs.align.similarities,inp9_small_proteome.pairs,align,similarities,NA,NA,NA
P40518,Q9BPX5,O15511,0.28125,0.2631578947368421,TRUE,Sequence Alignment,2,inp9_small_proteome.pairs.align.similarities,prot_t5_xl_uniref50,last_1,cosine,inp9_small_proteome.pairs.align.similarities,inp9_small_proteome.pairs,align,similarities,NA,NA,NA
P40857,Q6Y1H2,B0YJ81,0.2862453531598513,0.2550335570469799,TRUE,Sequence Alignment,2,inp9_small_proteome.pairs.align.similarities,prot_t5_xl_uniref50,last_1,cosine,inp9_small_proteome.pairs.align.similarities,inp9_small_proteome.pairs,align,similarities,NA,NA,NA
P53039,Q969M3,Q8N8F6,0.3272727272727272,0.3137931034482759,TRUE,Sequence Alignment,2,inp9_small_proteome.pairs.align.similarities,prot_t5_xl_uniref50,last_1,cosine,inp9_small_proteome.pairs.align.similarities,inp9_small_proteome.pairs,align,similarities,NA,NA,NA
P53378,Q9NRH3,P23258,0.3866943866943867,0.3804573804573805,TRUE,Sequence Alignment,2,inp9_small_proteome.pairs.align.similarities,prot_t5_xl_uniref50,last_1,cosine,inp9_small_proteome.pairs.align.similarities,inp9_small_proteome.pairs,align,similarities,NA,NA,NA
P54839,Q01581,P54868,0.4035714285714286,0.4091778202676864,FALSE,Sequence Alignment,2,inp9_small_proteome.pairs.align.similarities,prot_t5_xl_uniref50,last_1,cosine,inp9_small_proteome.pairs.align.similarities,inp9_small_proteome.pairs,align,similarities,NA,NA,NA
Q07478,Q13838,O00148,0.6169265033407573,0.6057906458797327,TRUE,Sequence Alignment,2,inp9_small_proteome.pairs.align.similarities,prot_t5_xl_uniref50,last_1,cosine,inp9_small_proteome.pairs.align.similarities,inp9_small_proteome.pairs,align,similarities,NA,NA,NA
Q99190,Q9NZ01,Q5HYJ1,0.2759643916913946,0.2532637075718015,TRUE,Sequence Alignment,2,inp9_small_proteome.pairs.align.similarities,prot_t5_xl_uniref50,last_1,cosine,inp9_small_proteome.pairs.align.similarities,inp9_small_proteome.pairs,align,similarities,NA,NA,NA
P00817,Q15181,Q9H2U2,0.9983872771263124,0.9919655919075012,TRUE,Embeddings,2,small.fasta.last_4.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_4,cosine,small.fasta.last_4.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_4,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
P04801,P26639,A2RTX5,0.9953510761260986,0.9873425364494324,TRUE,Embeddings,2,small.fasta.last_4.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_4,cosine,small.fasta.last_4.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_4,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
P05453,Q8IYD1,P15170,0.9797419309616088,0.9616761207580566,TRUE,Embeddings,2,small.fasta.last_4.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_4,cosine,small.fasta.last_4.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_4,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
P07263,P12081,P49590,0.9898413419723512,0.9920710921287536,FALSE,Embeddings,2,small.fasta.last_4.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_4,cosine,small.fasta.last_4.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_4,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
P07283,O15305,Q92871,0.993137001991272,0.9925214052200316,TRUE,Embeddings,2,small.fasta.last_4.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_4,cosine,small.fasta.last_4.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_4,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
P07807,P00374,Q86XF0,0.9877842664718628,0.9923068284988404,FALSE,Embeddings,2,small.fasta.last_4.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_4,cosine,small.fasta.last_4.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_4,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
P09938,Q7LG56,P31350,0.9933176040649414,0.9933983087539672,FALSE,Embeddings,2,small.fasta.last_4.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_4,cosine,small.fasta.last_4.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_4,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
