OrthoGroup	ScUniProt	ScSystematicID	HsUniProt	HsName	HsORFeomeID	HsEntrez	HsEnsP74	Orthology	CompStatus	ToxStatus	HsOrthoScore	HsOrthoRank	PercentiDLong	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19
	P02557	TUB2	Q13509	HsTUBB3					Non Complement										
	P02557	TUB2	P07437	HsTUBB5					Non Complement										
	P02557	TUB2	Q9BUF5	HsTUBB6					Non Complement									
	P32347	ScHem12	Q93ZB6	AtHEME1					Non Complement									
	P32347	ScHem12	O22886	AtHEME2					Non Complement									
	P32347	ScHem12	P29680	EcHemE					Complement									
	P32347	ScHem12	P06132	HsUROD					Complement										
	P11353	ScHem13	Q9LR75	AtCPX1					Complement									
	P11353	ScHem13	Q93Z96	AtCPX2					Non Complement									

